District_1,County,Enrollment_1,PercentFreeorReducedLunch,SumofAmountofBondTax,BondAmountPerStudent
Southern Humboldt Joint Unified,Humboldt,789,57.5,35200000,44613
Galt Joint Union High,Sacramento,2184,57.5,65200000,29853
Siskiyou Union High,Siskiyou,542,57.4,12500000,23063
Helendale Elementary,San Bernardino,3221,57.4,20000000,6209
Charter Oak Unified,Los Angeles,4765,57.1,77000000,16159
San Antonio Union Elementary,Monterey,147,57.1,2100000,14286
Live Oak Elementary,Santa Cruz,2036,57.1,14500000,7122
Beaumont Unified,Riverside,10337,56.8,141000000,13640
Susanville Elementary,Lassen,1116,56.8,9000000,8065
Hughson Unified,Stanislaus,2052,56.5,19700000,9600
Upland Unified,San Bernardino,10913,56.5,103000000,9438
Mountain Empire Unified,San Diego,3163,56.3,3200000,1012
Eastern Sierra Unified,Mono,417,55.9,11100000,26619
Dixon Unified,Solano,3652,55.8,59600000,16320
Big Oak Flat-Groveland Unified,Tuolumne,287,55.7,18600000,64808
Calaveras Unified,Calaveras,2870,55.7,13500000,4704
River Delta Joint Unified,Sacramento,2322,55.6,23000000,9905
Gilroy Unified,Santa Clara,11834,55.3,389000000,32871
Banta Elementary,San Joaquin,851,55.3,800000,940
Galt Joint Union Elementary,Sacramento,3639,55,28940000,7953
Placerville Union Elementary,El Dorado,1281,55,9600000,7494
Plumas Unified,Plumas,2147,54.9,65000000,30275
Mammoth Unified,Mono,1200,54.8,63100000,52583
Bishop Unified,Inyo,1951,54.7,3000000,1538
Linns Valley-Poso Flat Union,Kern,22,54.5,340000,15455
Pacific Union Elementary,Humboldt,587,54.5,8100000,13799
Julian Union High,San Diego,131,54.2,2100000,16031
Chawanakee Unified,Madera,1086,54.2,9000000,8287
Buttonwillow Union Elementary,Kern,344,54.1,6500000,18895
Solvang Elementary,Santa Barbara,600,54,11650000,19417
Anderson Union High,Shasta,1779,54,12300000,6914
Elk Grove Unified,Sacramento,63297,53.9,476000000,7520
Rim of the World Unified,San Bernardino,3348,53.9,23340000,6971
Ferndale Unified,Humboldt,499,53.9,1100000,2204
Healdsburg Unified,Sonoma,1531,53.8,124810000,81522
Grossmont Union High,San Diego,21492,53.7,819000000,38107
San Benito High,San Benito,3066,53.7,102500000,33431
Sulphur Springs Union,Los Angeles,5395,53.5,72000000,13346
East Side Union High,Santa Clara,27263,53.4,1470200000,53927
San Juan Unified,Sacramento,50044,53.4,1607000000,32112
East Whittier City Elementary,Los Angeles,8650,53.4,94000000,10867
Sylvan Union Elementary,Stanislaus,8332,53.4,40000000,4801
Arcata Elementary,Humboldt,1087,53,15800000,14535
Tracy Joint Unified,San Joaquin,16237,53,176100000,10846
Oak View Union Elementary,San Joaquin,402,53,3700000,9204
Piner-Olivet Union Elementary,Sonoma,1358,52.9,20000000,14728
Pollock Pines Elementary,El Dorado,701,52.8,9000000,12839
Brittan Elementary,Sutter,458,52.8,4000000,8734
Valley Home Joint Elementary,Stanislaus,167,52.7,1400000,8383
Springville Union Elementary,Tulare,331,52.6,2200000,6647
Chula Vista Elementary,San Diego,30120,52.6,185000000,6142
Howell Mountain Elementary,Napa,99,52.5,2900000,29293
Fortuna Union High,Humboldt,1080,52.4,11500000,10648
Lemoore Union High,Kings,2204,52.3,29500000,13385
Fieldbrook Elementary,Humboldt,151,52.3,450000,2980
San Rafael City High,Marin,2648,52.2,223000000,84215
Plaza Elementary,Glenn,209,52.2,750000,3589
San Francisco Unified,San Francisco,60263,52.1,2020250000,33524
Midway Elementary,Kern,85,51.8,7800000,91765
Yreka Union High,Siskiyou,612,51.8,8000000,13072
Cottonwood Union Elementary,Shasta,1163,51.8,2200000,1892
Camino Union Elementary,El Dorado,466,51.7,4000000,8584
Natomas Unified,Sacramento,14895,51.5,320380000,21509
Maricopa Unified,Kern,6367,51,6000000,942
Redwood City Elementary,San Mateo,8803,50.9,215000000,24423
Escalon Unified,San Joaquin,2935,50.7,27000000,9199
Newark Unified,Alameda,5913,50.6,63000000,10654
Orchard Elementary,Santa Clara,875,50.5,56000000,64000
Santa Barbara Unified,Santa Barbara,15042,50.4,395000000,26260
Napa Valley Unified,Napa,18093,50.2,547000000,30233
Glendale Unified,Los Angeles,26071,50.2,270000000,10356
Paso Robles Joint Unified,San Luis Obispo,6871,50.1,135000000,19648
Lucia Mar Unified,San Luis Obispo,10551,49.9,191350000,18136
Fullerton Joint Union High,Orange,13901,49.8,242940000,17476
Rio Bravo-Greeley Union Elementary,Kern,1029,49.8,10900000,10593
La Honda-Pescadero Unified,San Mateo,316,49.7,15000000,47468
Yosemite Unified,Madera,2176,49.5,11760000,5404
Imperial Unified,Imperial,4149,48.9,52000000,12533
Ojai Unified,Ventura,2518,48.8,35000000,13900
New Haven Unified,Alameda,11613,48.7,245000000,21097
Westside Union Elementary,Los Angeles,9434,48.1,96710000,10251
North County Joint Union Elementary,San Benito,747,47.9,3350000,4485
Acton-Agua Dulce Unified,Los Angeles,14855,47.9,13000000,875
San Miguel Joint Union,San Luis Obispo,901,47.6,9750000,10821
Wheatland,Yuba,1376,47.6,5700000,4142
Manchester Union Elementary,Mendocino,40,47.5,1310000,32750
Rincon Valley Union Elementary,Sonoma,3442,47.4,58900000,17112
Orange Unified,Orange,27915,47.4,288000000,10317
Santa Rosa High,Sonoma,11186,47.2,252000000,22528
Chino Valley Unified,San Bernardino,28141,47,900000000,31982
Fruitvale Elementary,Kern,3240,47,52800000,16296
Round Valley Joint Elementary,Inyo,143,46.9,1200000,8392
Chico Unified,Butte,14228,46.8,230000000,16165
Amador County Unified,Amador,3926,46.8,11000000,2802
Ocean View,Orange,8263,46.7,13200000,1597
Northern Humboldt Union High,Humboldt,1761,46.6,25800000,14651
Forestville Union Elementary,Sonoma,263,46.4,10200000,38783
Pioneer Union Elementary,Kings,1593,46.3,14500000,9102
Black Oak Mine Unified,El Dorado,1242,46.2,6900000,5556
Sausalito Marin City,Marin,538,46.1,15900000,29554
Menifee Union Elementary,Riverside,11676,46.1,180960000,15498
Oakley Union Elementary,Contra Costa,5197,46,47500000,9140
Wheatland Union High,Yuba,784,45.8,9000000,11480
San Jose Unified,Santa Clara,31713,45.7,719000000,22672
Corona-Norco Unified,Riverside,53294,45.6,646000000,12121
Hart-Ransom Union Elementary,Stanislaus,1211,45.5,3900000,3220
Soulsbyville Elementary,Tuolumne,530,45.3,1500000,2830
Mt. Diablo Unified,Contra Costa,31317,45.2,598000000,19095
Cayucos Elementary,San Luis Obispo,191,45,7850000,41099
Pacific Elementary,Santa Cruz,120,45,830000,6917
Cotati-Rohnert Park Unified,Sonoma,6198,44.8,160000000,25815
Sonora Elementary,Tuolumne,748,44.8,7800000,10428
Golden Valley Unified,Madera,1940,44.5,100000000,51546
Summerville Union High,Tuolumne,1122,44.4,17991000,16035
Sundale Union Elementary,Tulare,827,44.4,1250000,1511
Newport-Mesa Unified,Orange,21234,44.3,282000000,13281
Lakeside Union Elementary,San Diego,6217,44.2,110550000,17782
Harmony Union Elementary,Sonoma,652,44,9600000,14724
Cuyama Joint Unified,Santa Barbara,761,43.9,6000000,7884
Campbell Union,Santa Clara,7298,43.7,296900000,40682
Temple City Unified,Los Angeles,5831,43.7,128800000,22089
Oakdale Joint Unified,Stanislaus,5326,43.3,20000000,3755
Mark West Union Elementary,Sonoma,1459,43.2,25000000,17135
Sonora Union High,Tuolumne,1079,43.1,23000000,21316
Mendocino Unified,Mendocino,509,43,18000000,35363
Tehachapi Unified,Kern,4454,42.7,24000000,5388
Santa Cruz City Elementary,Santa Cruz,2096,42.7,68000000,32443
Kingsburg Joint Union High,Fresno,1158,42.7,32900000,28411
Oak Grove Elementary,Santa Clara,10305,42.2,214800000,20844
Clovis Unified,Fresno,43106,42.2,466000000,10811
Sebastopol Union Elementary,Sonoma,905,41.9,12200000,13481
Dry Creek Joint Elementary,Placer,6866,41.8,67300000,9802
Santee,San Diego,6788,41.8,60000000,8839
Vacaville Unified,Solano,13163,41.7,295300000,22434
South San Francisco Unified,San Mateo,8707,41.6,162000000,18606
Newhall,Los Angeles,6537,41.6,95500000,14609
Freshwater Elementary,Humboldt,354,41.5,2100000,5932
Bret Harte Union High,Calaveras,689,41.4,18000000,26125
Santa Clara Unified,Santa Clara,15509,41.3,815100000,52557
Orcutt Union Elementary,Santa Barbara,5202,41.3,75000000,14418
Gold Oak Union Elementary,El Dorado,489,40.9,8950000,18303
Santa Cruz City High,Santa Cruz,4637,40.8,140000000,30192
Nevada Joint Union High,Nevada,2801,40.3,62000000,22135
Tustin Unified,Orange,24015,40.2,95000000,3956
Etiwanda Elementary,San Bernardino,14111,39.8,137000000,9709
Sequoia Union High,San Mateo,10021,39.6,588000000,58677
Cabrillo Unified,San Mateo,3207,39.6,180000000,56127
Buellton Union Elementary,Santa Barbara,564,39.5,9700000,17199
Tahoe-Truckee Unified,Placer,4133,39.3,265450000,64227
Saint Helena Unified,Napa,1192,39.3,60000000,50336
Atascadero Unified,San Luis Obispo,4683,39.3,175000000,37369
San Marcos Unified,San Diego,21007,39.3,287000000,13662
College Elementary,Santa Barbara,396,38.9,9370000,23662
Alta Loma Elementary,San Bernardino,5987,38.6,83800000,13997
Morgan Hill Unified,Santa Clara,9133,38.5,270750000,29645
Old Adobe Union,Sonoma,2097,38.5,26000000,12399
Bonita Unified,Los Angeles,10088,38.4,139920000,13870
Dehesa Elementary,San Diego,8677,38.4,8500000,980
Luther Burbank,Santa Clara,517,38.3,9500000,18375
Ripon Unified,San Joaquin,4334,38.3,35236190,8130
Claremont Unified,Los Angeles,7075,38.2,58000000,8198
Windsor Unified,Sonoma,5176,38.1,112000000,21638
San Luis Coastal Unified,San Luis Obispo,7755,38,177000000,22824
Novato Unified,Marin,7863,37.9,329000000,41842
Fullerton Elementary,Orange,13307,37.6,49700000,3735
Folsom-Cordova Unified,Sacramento,20353,37.3,1240000000,60925
Huntington Beach Union High,Orange,16188,37.3,238000000,14702
Bonsall Unified,San Diego,2930,37.2,17000000,5802
Wiseburn Unified,Los Angeles,4495,37.1,119600000,26607
East Nicolaus Joint Union High,Sutter,311,37,4000000,12862
Moorpark Unified,Ventura,6377,37,72500000,11369
Burbank Unified,Los Angeles,15173,37,110000000,7250
Pope Valley Union Elementary,Napa,57,36.8,4000000,70175
Jefferson Union High,San Mateo,4869,36.6,311800000,64038
Placentia-Yorba Linda Unified,Orange,25741,36.6,302000000,11732
Shasta Union High,Shasta,5605,36.2,87900000,15682
Petaluma City Elementary,Sonoma,2391,36,21000000,8783
Cypress Elementary,Orange,3957,35.5,53600000,13546
Murrieta Valley Unified,Riverside,23121,35.1,138400000,5986
Berkeley Unified,Alameda,10340,34.9,329750000,31891
Columbia Elementary,Shasta,1357,34.9,12300000,9064
Sunnyvale,Santa Clara,6575,34.7,120000000,18251
Western Placer Unified,Placer,9154,34.7,60000000,6555
Berryessa Union Elementary,Santa Clara,7102,34.6,125000000,17601
Simi Valley Unified,Ventura,16801,34.3,384000000,22856
Junction Elementary,Shasta,272,34.2,3500000,12868
Mountain View Whisman,Santa Clara,5132,34.1,198000000,38581
Soquel Union Elementary,Santa Cruz,1964,34.1,72000000,36660
Culver City Unified,Los Angeles,7048,33.8,106000000,15040
Hydesville Elementary,Humboldt,195,33.8,1100000,5641
Milpitas Unified,Santa Clara,10318,33.5,95000000,9207
Byron Union Elementary,Contra Costa,2325,33.5,19700000,8473
Mesa Union Elementary,Ventura,1251,33.5,7900000,6315
Castaic Union,Los Angeles,2153,33,51000000,23688
Sutter Union High,Sutter,789,33,12600000,15970
Oak Grove Union Elementary,Sonoma,1235,32.8,6000000,4858
McCabe Union Elementary,Imperial,1389,32,7000000,5040
Gold Trail Union Elementary,El Dorado,709,32,1800000,2539
West Sonoma County Union High,Sonoma,1959,31.6,114800000,58601
Hope Elementary,Santa Barbara,963,31.6,8000000,8307
William S. Hart Union High,Los Angeles,25080,31.4,458000000,18262
Jefferson Elementary,San Joaquin,2329,31.4,35400000,15200
Alameda Unified,Alameda,11299,31.3,242500000,21462
Muroc Joint Unified,Kern,1827,31.3,21000000,11494
Petaluma Joint Union High,Sonoma,5337,31.2,68000000,12741
Pleasant Valley,Ventura,7154,30.9,119000000,16634
Saddleback Valley Unified,Orange,27378,30.7,180000000,6575
Evergreen Elementary,Santa Clara,11385,30.6,250000000,21959
Moreland,Santa Clara,4805,30.4,90000000,18730
Torrance Unified,Los Angeles,23496,30.3,591800000,25187
Brea-Olinda Unified,Orange,5951,30.3,27000000,4537
San Mateo-Foster City,San Mateo,11837,30.1,323000000,27287
Glendora Unified,Los Angeles,7444,29.9,41300000,5548
Liberty Union High,Contra Costa,8219,29.7,162000000,19710
Cinnabar Elementary,Sonoma,259,29.3,2500000,9653
Wilmar Union Elementary,Sonoma,257,29.2,4000000,15564
Roseville City Elementary,Placer,10850,29.2,29117071,2684
Jacoby Creek Elementary,Humboldt,462,29,2700000,5844
Santa Ynez Valley Union High,Santa Barbara,944,28.4,14700000,15572
Martinez Unified,Contra Costa,4160,28.1,165000000,39663
Temecula Valley Unified,Riverside,29983,27.8,165000000,5503
Brentwood Union Elementary,Contra Costa,9049,27.6,193000000,21328
Graves Elementary,Monterey,40,27.5,180000,4500
Roseville Joint Union High,Placer,10282,27,290000001,28205
Arcadia Unified,Los Angeles,9460,26.4,218000000,23044
Capistrano Unified,Orange,53622,26,65000000,1212
Norris Elementary,Kern,4198,25.9,149000000,35493
Placer Union High,Placer,4037,25.8,41500000,10280
Twin Hills Union Elementary,Sonoma,1206,25.5,15000000,12438
Livermore Valley Joint Unified,Alameda,13765,25,640000000,46495
Fountain Valley Elementary,Orange,6362,24.9,63000000,9903
Franklin Elementary,Sutter,478,24.9,2000000,4184
Campbell Union High,Santa Clara,8043,24.8,460000000,57193
Conejo Valley Unified,Ventura,18733,24.8,285000000,15214
Bennett Valley Union Elementary,Sonoma,1022,24.7,10600000,10372
Benicia Unified,Solano,4787,24.5,49600000,10361
Santa Monica-Malibu Unified,Los Angeles,10806,24.4,706000000,65334
Saugus Union,Los Angeles,9960,24.3,148000000,14859
San Mateo Union High,San Mateo,9484,24.2,621500000,65531
Millbrae Elementary,San Mateo,2433,24.2,60000000,24661
Castro Valley Unified,Alameda,9312,24.2,183800000,19738
Big Creek Elementary,Fresno,59,23.7,1400000,23729
Carlsbad Unified,San Diego,11326,23.7,198000000,17482
Alexander Valley Union Elementary,Sonoma,116,23.3,6000000,51724
Shoreline Unified,Marin,510,23.1,16290000,31941
Gravenstein Union Elementary,Sonoma,724,22.8,6000000,8287
Loomis Union Elementary,Placer,4357,22.7,9300000,2134
San Pasqual Union Elementary,San Diego,587,22.5,1720000,2930
Walnut Valley Unified,Los Angeles,14310,22.2,282680000,19754
El Dorado Union High,El Dorado,6665,22.2,66300000,9947
San Lorenzo Valley Unified,Santa Cruz,4998,22.2,37400000,7483
Pacific Grove Unified,Monterey,2091,22,34433,28694
Pacifica,San Mateo,3114,21,55000000,17662
Los Olivos Elementary,Santa Barbara,139,20.9,4650000,33453
Brisbane Elementary,San Mateo,470,20.9,11000000,23404
Albany City Unified,Alameda,3658,20.2,118000000,32258
Huntington Beach City Elementary,Orange,7073,19.9,189850000,26842
Templeton Unified,San Luis Obispo,2370,19.9,35000000,14768
Mountain View-Los Altos Union High,Santa Clara,4304,19.7,336300000,78137
Buckeye Union Elementary,El Dorado,5996,19.7,28300000,4720
Mission Union Elementary,Monterey,131,19.1,315000,2405
Lammersville Joint Unified,San Joaquin,4911,18.9,56000000,11403
Irvine Unified,Orange,34617,18.9,319000000,9215
Fremont Unified,Alameda,35777,18.7,807200000,22562
South Pasadena Unified,Los Angeles,4794,18.5,127000000,26491
Rocklin Unified,Placer,13566,18.5,52000000,3833
Poway Unified,San Diego,36519,18.1,377000000,10323
Spreckels Union Elementary,Monterey,987,17.8,12335000,12497
Cardiff Elementary,San Diego,703,17.6,33000000,46942
Carmel Unified,Monterey,2490,17.3,21500000,8635
Redondo Beach Unified,Los Angeles,9937,17,260000000,26165
Beverly Hills Unified,Los Angeles,3933,16.9,1069000000,271803
Los Alamitos Unified,Orange,9833,16.8,126000000,12814
Grant Elementary,Shasta,648,16.8,1700000,2623
Cambrian,Santa Clara,3591,16.6,59975000,16701
El Segundo Unified,Los Angeles,3474,16.6,39000000,11226
Encinitas Union Elementary,San Diego,5350,16.3,44200000,8262
Fremont Union High,Santa Clara,11140,15.2,493000000,44255
Dixie Elementary,Marin,1984,14.3,40000000,20161
Burlingame Elementary,San Mateo,3507,12.7,160300000,45709
Las Virgenes Unified,Los Angeles,11323,12.7,128000000,11304
Walnut Creek Elementary,Contra Costa,3593,12.2,80000000,22266
Laguna Beach Unified,Orange,2929,12.2,39000000,13315
Tamalpais Union High,Marin,4828,11.4,200920000,41616
Union Elementary,Santa Clara,5793,11.1,217000000,37459
Palo Alto Unified,Santa Clara,12249,11.1,378000000,30860
Solana Beach Elementary,San Diego,2916,10.8,105000000,36008
San Dieguito Union High,San Diego,13063,10.8,449000000,34372
Scotts Valley Unified,Santa Cruz,2470,10.8,35000000,14170
Woodside Elementary,San Mateo,411,10.2,30700000,74696
Mountain Elementary,Santa Cruz,127,10.2,2300000,18110
Kentfield Elementary,Marin,1236,10.1,55400000,44822
Dublin Unified,Alameda,11294,10,566000000,50115
Ross Valley Elementary,Marin,2094,9.9,43500000,20774
Sunol Glen Unified,Alameda,293,9.6,2100000,7167
Coronado Unified,San Diego,2946,9.5,17000000,5771
Cold Spring Elementary,Santa Barbara,170,9.4,2440000,14353
Washington Union Elementary,Monterey,890,9.3,13000000,14607
Menlo Park City Elementary,San Mateo,2973,9.2,91100000,30642
Portola Valley Elementary,San Mateo,609,8.9,23000000,37767
Belmont-Redwood Shores Elementary,San Mateo,4324,8.4,133000000,30759
Pleasanton Unified,Alameda,14864,8.2,270000000,18165
Palos Verdes Peninsula Unified,Los Angeles,11346,7.2,40000000,3525
San Carlos Elementary,San Mateo,3549,6.7,110000000,30995
Acalanes Union High,Contra Costa,5662,6.7,137000000,24196
Oak Park Unified,Ventura,4554,6.7,106945000,23484
Cupertino Union,Santa Clara,18017,6.5,228000000,12655
Las Lomitas Elementary,San Mateo,1341,6.3,154000000,114840
Los Altos Elementary,Santa Clara,4403,6.1,244700000,55576
San Ramon Valley Unified,Contra Costa,32504,5.8,520000000,15998
Mill Valley Elementary,Marin,3086,5.7,59800000,19378
Loma Prieta Joint Union Elementary,Santa Clara,505,5.5,15565000,30822
Rancho Santa Fe Elementary,San Diego,639,4.9,38800000,60720
La Canada Unified,Los Angeles,4167,4.9,180000000,43197
Los Gatos Union Elementary,Santa Clara,3163,4.8,121900000,38539
Nicasio,Marin,43,4.7,2500000,48140
Reed Union Elementary,Marin,1444,4.6,51000000,35319
Hermosa Beach City Elementary,Los Angeles,1361,4.5,72600000,53343
Manhattan Beach Unified,Los Angeles,6647,4.5,246480000,37081
Los Gatos-Saratoga Joint Union High,Santa Clara,3425,3.9,178000000,51971
Moraga Elementary,Contra Costa,1832,3.7,33000000,18013
Larkspur-Corte Madera,Marin,1547,3.6,45000000,29089
Lafayette Elementary,Contra Costa,3591,3.6,70000000,19493
Saratoga Union Elementary,Santa Clara,1817,2.3,19900000,10952
Piedmont City Unified,Alameda,2623,1.8,122000000,46512
Hillsborough City Elementary,San Mateo,1405,1.7,66800000,47544
Ross Elementary,Marin,387,1.3,21750000,56202
